date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,
2020/4/24,47.34,49.47,48.82,46.9,122804.25,1.54,3.26,47.09,46.983,46.397,63332.08,63470.79,70468.99,1.76,71
2020/4/27,48.83,50.1,49.64,48.35,79409.1,0.82,1.68,47.64,47.157,46.657,68902.91,63080.85,70113.17,1.14,70
2020/4/28,49.53,51,50,48.88,82731.75,0.36,0.72,48.506,47.432,46.852,77198.69,64818.27,67410.04,1.19,69
2020/4/29,49.9,51.08,51.05,48.88,101534.22,1.05,2.1,49.358,47.924,47.119,87137.14,69362.52,68808.68,1.46,68
2020/4/30,52.6,54.5,52.75,51.28,141101.23,1.7,3.33,50.452,48.544,47.489,105516.11,77685.36,72831.32,2.03,67
2020/5/6,53.18,55.26,55.26,53.18,145779.27,2.51,4.76,51.74,49.415,48.001,110111.11,86721.6,76717.62,2.09,66
2020/5/7,55.36,55.87,55.5,54.12,86616.69,0.24,0.43,52.912,50.276,48.508,111552.63,90227.77,77432.92,1.24,65
2020/5/8,55.38,57,55.36,54.7,111772.69,-0.14,-0.25,53.984,51.245,48.949,117360.82,97279.75,79369.69,1.61,64
2020/5/11,54.8,55.66,54.79,54.65,69487.94,-0.57,-1.03,54.732,52.045,49.398,110951.56,99044.35,80829.96,1,63
2020/5/12,55.33,56.77,55.93,54.62,65160.78,1.14,2.08,55.368,52.91,49.858,95763.47,100639.79,80941.94,0.94,62
2020/5/13,55.92,59.97,59.46,55.55,101293.65,3.53,6.31,56.208,53.974,50.479,86866.35,98488.73,80979.76,1.46,61
2020/5/14,59.2,62.37,60.32,58.45,137730.45,0.86,1.45,57.172,55.042,51.1,97089.1,104320.87,83700.86,1.98,60
2020/5/15,60.99,61.5,60.68,60.02,59042.17,0.36,0.6,58.236,56.11,51.771,86543,101951.91,83385.09,0.85,59
2020/5/18,60.3,61.67,61.25,59.6,54423.72,0.57,0.94,59.528,57.13,52.527,83530.15,97240.86,83301.69,0.78,58
2020/5/19,61,61.09,60.7,58.51,80745.09,-0.55,-0.9,60.482,57.925,53.235,86647.02,91205.25,84445.3,1.16,57
2020/5/20,60,61.3,60.81,59.2,64117.24,0.11,0.18,60.752,58.48,53.948,79211.73,83039.04,84880.32,0.92,56
2020/5/21,60.8,61.18,59.88,59.41,77755.4,-0.93,-1.53,60.664,58.918,54.597,67216.72,82152.91,86190.34,1.12,55
2020/5/22,60.36,60.36,58.58,58.2,76076.73,-1.3,-2.17,60.244,59.24,55.243,70623.64,78583.32,87931.54,1.09,54
2020/5/25,58.68,60.3,59.58,56.56,70432.45,1,1.71,59.91,59.719,55.882,73825.38,78677.77,88861.06,1.01,53
2020/5/26,60.17,61.97,61.05,60.17,60399.71,1.47,2.47,59.98,60.231,56.571,69756.31,78201.66,89420.73,0.87,52
2020/5/27,61.05,63.27,61.05,60.63,51952.02,0,0,60.028,60.39,57.182,67323.26,73267.5,85878.12,0.75,51
2020/5/28,60.82,62.11,61.9,60.18,47528.61,0.85,1.39,60.432,60.548,57.795,61277.9,64247.31,84284.09,0.68,50
2020/5/29,61.9,63.68,63.29,61.28,50114.19,1.39,2.25,61.374,60.809,58.46,56085.4,63354.52,82653.21,0.72,49
2020/6/1,63.5,65,64.36,62.89,75315.39,1.07,1.69,62.33,61.12,59.125,57061.98,65443.68,81342.27,1.08,48
2020/6/2,64.1,64.1,61.76,61.2,91919.4,-2.6,-4.04,62.472,61.226,59.576,63365.92,66561.11,78883.18,1.32,47
2020/6/3,62.29,63.5,63.3,60.77,65580.92,1.54,2.49,62.922,61.475,59.978,66091.7,66707.48,74873.26,0.94,46
2020/6/4,63.53,67.3,67.3,63.53,125062.94,4,6.32,64.002,62.217,60.568,81598.57,71438.24,76795.57,1.8,45
2020/6/5,67.4,67.4,65.54,63.58,136080.12,-1.76,-2.62,64.452,62.913,61.077,98791.75,77438.58,78010.95,1.96,44
2020/6/8,64.97,65.14,64.49,63.03,78021.6,-1.05,-1.6,64.478,63.404,61.562,99333,78197.49,78437.63,1.12,43
2020/6/9,64.49,64.85,64.45,63.98,43457.58,-0.04,-0.06,65.016,63.744,61.988,89640.63,76503.28,77352.47,0.62,42
2020/6/10,64.24,65.25,64.99,64.1,45653.83,0.54,0.84,65.354,64.138,62.264,85655.21,75873.46,74570.48,0.66,41
2020/6/11,64.94,64.97,62.75,62.51,77550.3,-2.24,-3.45,64.444,64.223,62.386,76152.69,78875.63,71561.47,1.11,40
2020/6/12,61.2,65.06,64.35,60.99,68463,1.6,2.55,64.206,64.329,62.569,62629.26,80710.51,72032.51,0.98,39
2020/6/15,64.35,66,63.75,63.73,64801.73,-0.6,-0.93,64.058,64.268,62.694,59985.29,79659.14,72551.41,0.93,38
2020/6/16,64.74,65.5,64.78,63.9,53977.02,1.03,1.62,64.124,64.57,62.898,62089.18,75864.9,71213.01,0.78,37
2020/6/17,64.76,64.95,64.5,63.9,37827.67,-0.28,-0.43,64.026,64.69,63.083,60523.94,73089.58,69898.53,0.54,36
2020/6/18,64.14,67.3,65.98,63.9,59503.27,1.48,2.29,64.672,64.558,63.388,56914.54,66533.61,68985.92,0.86,35
2020/6/19,66.31,70.67,70.3,66.31,80496.63,4.32,6.55,65.862,65.034,63.974,59321.26,60975.26,69206.92,1.16,34
2020/6/22,70.2,70.3,68.87,68.2,83623.65,-1.43,-2.03,66.886,65.472,64.438,63085.65,61535.47,69866.48,1.2,33
2020/6/23,68.92,73.56,72.7,68.69,93601.61,3.83,5.56,68.47,66.297,65.021,71010.57,66549.87,71526.57,1.35,32
2020/6/24,72.12,72.5,72.2,69.28,89072.05,0.05,0.07,70.01,67.018,65.578,81259.44,70891.69,73382.58,1.28,31
2020/6/29,70.5,73.5,71.94,69.6,58118.89,-0.26,-0.36,71.202,67.937,66.08,80982.57,68948.55,73912.09,0.84,30
2020/6/30,71.94,78.86,76.5,71.94,84884.27,4.56,6.34,72.442,69.152,66.741,81860.09,70590.68,75650.59,1.22,29
2020/7/1,76.01,81.95,80.36,75.2,83510.78,3.86,5.05,74.74,70.813,67.541,81837.52,72461.58,76060.36,1.2,28
